Date,Dividends
5/22/1984,0.046012
8/14/1984,0.046012
11/13/1984,0.046012
2/8/1985,0.046012
5/21/1985,0.06135
8/14/1985,0.06135
11/13/1985,0.06135
2/10/1986,0.06135
5/20/1986,0.076687
8/14/1986,0.076687
11/13/1986,0.076687
2/11/1987,0.076687
5/19/1987,0.107362
8/13/1987,0.107362
11/12/1987,0.107362
2/10/1988,0.107362
5/18/1988,0.122699
8/11/1988,0.122699
11/15/1988,0.122699
2/14/1989,0.122699
5/17/1989,0.138037
8/15/1989,0.138037
11/14/1989,0.138037
2/13/1990,0.138037
5/16/1990,0.138037
8/14/1990,0.138037
11/13/1990,0.138037
2/12/1991,0.138037
5/15/1991,0.153374
8/14/1991,0.153374
11/12/1991,0.153374
2/10/1992,0.153374
5/12/1992,0.162577
8/18/1992,0.162577
11/17/1992,0.162577
2/8/1993,0.162577
5/17/1993,0.162577
8/17/1993,0.162577
11/16/1993,0.162577
2/14/1994,0.162577
5/17/1994,0.174847
8/16/1994,0.174847
11/15/1994,0.174847
2/13/1995,0.174847
5/25/1995,0.175
8/30/1995,0.175
11/29/1995,0.175
2/29/1996,0.2
5/30/1996,0.2
8/29/1996,0.2
11/27/1996,0.2
3/6/1997,0.2
5/29/1997,0.2
8/28/1997,0.2
11/26/1997,0.2
3/5/1998,0.2
5/28/1998,0.2
8/28/1998,0.2
11/27/1998,0.22
3/4/1999,0.22
5/27/1999,0.22
8/30/1999,0.22
11/29/1999,0.22
3/2/2000,0.11
5/30/2000,0.11
8/30/2000,0.11
11/29/2000,0.11
3/1/2001,0.11
5/30/2001,0.11
8/30/2001,0.11
11/29/2001,0.11
2/28/2002,0.11
5/30/2002,0.11
8/29/2002,0.11
11/27/2002,0.11
2/27/2003,0.11
5/29/2003,0.12
8/28/2003,0.12
11/26/2003,0.22
2/26/2004,0.22
5/27/2004,0.22
8/30/2004,0.22
11/29/2004,0.25
2/25/2005,0.25
5/27/2005,0.25
8/30/2005,0.25
11/29/2005,0.3
2/27/2006,0.3
5/30/2006,0.3
8/30/2006,0.3
11/29/2006,0.35
2/27/2007,0.35
5/30/2007,0.35
8/30/2007,0.35
11/29/2007,0.42
2/28/2008,0.42
5/29/2008,0.42
8/28/2008,0.42
11/26/2008,0.57
2/26/2009,0.57
5/28/2009,0.57
8/28/2009,0.57
11/27/2009,0.63
2/25/2010,0.63
5/27/2010,0.63
8/30/2010,0.63
11/29/2010,0.75
2/25/2011,0.75
5/27/2011,0.75
8/30/2011,0.75
11/29/2011,1
2/28/2012,1
5/30/2012,1
8/30/2012,1
11/29/2012,1.15
2/27/2013,1.15
5/30/2013,1.15
8/29/2013,1.15
11/27/2013,1.33
2/27/2014,1.33
5/29/2014,1.33
8/28/2014,1.33
11/26/2014,1.5
2/26/2015,1.5
5/28/2015,1.5
8/28/2015,1.5
11/27/2015,1.65
2/26/2016,1.65
5/27/2016,1.65
8/30/2016,1.65
11/29/2016,1.82
2/27/2017,1.82
5/30/2017,1.82
8/30/2017,1.82
11/30/2017,2
2/28/2018,2
5/31/2018,2
8/31/2018,2
11/30/2018,2.2
2/28/2019,2.2
5/31/2019,2.2
8/30/2019,2.2
11/29/2019,2.4
2/28/2020,2.4
5/29/2020,2.4
8/31/2020,2.4
11/30/2020,2.6
2/26/2021,2.6
5/28/2021,2.6
8/31/2021,2.6
11/30/2021,2.8
2/28/2022,2.8
5/31/2022,2.8
