Date,Open,High,Low,Volume
1-Aug-22,3.5805,3.7105,3.46,4812
1-Jul-22,3.685,3.704,3.15,12369
1-Jun-22,4.28,4.5675,3.6855,41424
1-Apr-22,4.7245,4.809,4.363,38981
1-Mar-22,4.4965,5.01,4.46,20263
1-Feb-22,4.3545,4.691,4.3545,75732
1-Jan-22,4.44,4.581,4.2785,20007
1-Dec-21,4.3035,4.468,4.129,16199
1-Nov-21,4.3545,4.4795,4.2055,65974
1-Oct-21,4.15,4.791,4.142,11041
1-Sep-21,4.351,4.467,4.022,15652
1-Jul-21,4.3,4.609,4.18,13038
1-Jun-21,4.689,4.697,4.1285,50263
1-May-21,4.4975,4.8985,4.45,16428
1-Apr-21,3.985,4.755,3.985,67986
1-Mar-21,4.1105,4.235,3.876,16894
1-Feb-21,3.5665,4.363,3.5265,103789
1-Jan-21,3.559,3.72,3.509,13114
1-Dec-20,3.4435,3.634,3.43,17277
1-Oct-20,3.0325,3.1955,2.843,8811
1-Sep-20,3.0325,3.1135,2.9295,13064
1-Aug-20,2.8535,3.044,2.789,67783
1-Jul-20,2.716,2.9815,2.6975,14558
1-Jun-20,2.4315,2.721,2.4315,50362
1-May-20,2.347,2.47,2.2895,9366
1-Apr-20,2.22,2.408,2.1785,37788
1-Feb-20,2.523,2.63,2.5085,87881
1-Jan-20,2.8165,2.876,2.509,8696
1-Nov-19,2.636,2.724,2.6135,89370
1-Oct-19,2.55,2.6865,2.5085,10037
1-Aug-19,2.6465,2.6605,2.526,84170
1-Jul-19,2.738,2.793,2.6135,15548
1-Jun-19,2.635,2.741,2.6065,70044
1-May-19,2.9035,2.906,2.6385,13522
1-Apr-19,2.94,2.9895,2.8655,78113
1-Mar-19,2.9465,2.978,2.8335,12977
1-Feb-19,2.765,2.9715,2.757,78278
1-Jan-19,2.666,2.798,2.5495,8733
1-Dec-18,2.8,2.847,2.6275,17042
1-Nov-18,2.6755,2.8185,2.671,66757
1-Oct-18,2.783,2.84,2.653,11464
1-Sep-18,2.6355,2.846,2.5645,17187
1-Aug-18,2.815,2.815,2.557,83891
1-Jun-18,3.0565,3.297,2.93,79824
1-May-18,3.0485,3.133,2.998,17452
1-Mar-18,3.1045,3.1705,2.946,16222
1-Feb-18,3.18,3.2495,3.021,78844
1-Jan-18,3.251,3.267,3.0895,10321
1-Dec-17,3.0445,3.2955,2.9205,17349
1-Nov-17,3.138,3.1735,3.0245,100589
1-Sep-17,3.087,3.158,2.875,26439
