Date_Year_Month,Oil_Open,Oil_High,Oil_Low,Oil_Volume
1-Aug-22,98.46,98.65,85.73,4459644
1-Jul-22,106.01,111.45,90.56,6442224
1-Jun-22,115.4,123.68,101.53,6646137
1-Apr-22,101.23,109.81,92.93,5669971
1-Mar-22,96.09,130.5,93.53,9128833
1-Feb-22,88.15,100.54,86.55,9108602
1-Jan-22,75.69,88.84,74.27,8385229
1-Dec-21,67.01,77.44,62.43,7853281
1-Nov-21,83.36,84.97,64.43,10364108
1-Oct-21,75.12,85.41,74.23,9725158
1-Sep-21,68.55,76.67,67.12,8102078
1-Jul-21,73.5,76.98,65.21,8643164
1-Jun-21,66.68,74.45,66.41,8261945
1-May-21,63.64,67.52,61.56,8001095
1-Apr-21,59.49,65.47,57.63,8438272
1-Mar-21,61.95,67.98,57.25,10167951
1-Feb-21,51.99,63.81,51.64,8065615
1-Jan-21,48.4,53.93,47.18,7574920
1-Dec-20,45.08,49.28,43.92,6658228
1-Oct-20,39.9,41.7,34.92,7685767
1-Sep-20,42.83,43.43,36.13,7025110
1-Aug-20,40.39,43.78,39.58,6720832
1-Jul-20,39.84,42.4,38.54,7151922
1-Jun-20,35.21,41.63,34.27,7923564
1-May-20,19.04,35.77,18.05,6304127
1-Apr-20,20.1,29.13,-40.32,16824885
1-Feb-20,51.01,54.5,43.85,13979728
1-Jan-20,61.6,65.65,50.97,13141261
1-Nov-19,54.15,58.74,54.07,10112807
1-Oct-19,54.28,56.92,50.99,11751844
1-Aug-19,57.85,57.99,50.52,14650885
1-Jul-19,59.27,60.94,54.72,12395594
1-Jun-19,53.42,59.93,50.6,13290297
1-May-19,63.4,63.93,53.05,16862619
1-Apr-19,60.24,66.6,60.13,14068153
1-Mar-19,57.22,60.73,54.52,12715337
1-Feb-19,54.01,57.81,51.23,11198402
1-Jan-19,45.8,55.37,44.35,14922969
1-Dec-18,52.45,54.55,42.36,12944224
1-Nov-18,64.88,65.39,49.41,15784511
1-Oct-18,73.29,76.9,64.81,13521457
1-Sep-18,70.12,73.73,66.86,10673802
1-Aug-18,68.43,70.5,64.43,10826163
1-Jun-18,67.07,74.46,63.59,13628570
1-May-18,68.56,72.83,65.92,15729291
1-Mar-18,61.55,66.55,59.95,13059840
1-Feb-18,64.76,66.3,58.07,12729450
1-Jan-18,60.2,66.66,60.1,13358234
1-Dec-17,57.42,60.51,55.82,9873595
1-Nov-17,54.65,59.05,53.89,13087384
1-Sep-17,47.08,52.86,46.56,12837171
